Contract reference,Name,Province,Area,Primary Number,Collection name,House Hold Size,Registration Date
C357000017,E***,Lusaka,6 Miles,XXXX7766,L***,3,6/10/2025
C357190016,M***,Lusaka,Matero,XXXX5240,A***,5,6/12/2025
C357310010,P***,Lusaka,Matero,XXXX1506,A***,5,8/26/2025
C357330018,T***,Lusaka,Matero,XXXX5966,A***,7,6/12/2025
C357360015,L***,Lusaka,Matero,XXXX9902,A***,9,6/12/2025
C357370014,D***,Lusaka,Chunga,XXXX7304,D***,5,6/12/2025
C357410018,N***,Lusaka,Matero,XXXX9077,A***,5,7/1/2025
C357490010,K***,Lusaka,Kaunda Square,XXXX9883,J***,6,7/6/2025
C357540012,B***,Lusaka,Garden,XXXX2303,M***,3,6/12/2025
C357590017,J***,Lusaka,Garden,XXXX9120,M***,4,6/3/2025
C357640010,A***,Lusaka,Garden Compound,XXXX4064,M***,4,6/12/2025
C357650019,K***,Lusaka,Garden House,XXXX4885,K***,8,6/12/2025
C357670017,C***,Lusaka,Garden Compound,XXXX9568,M***,7,6/12/2025
C357680016,P***,Lusaka,Garden Compound,XXXX2584,M***,6,6/27/2025
C357740018,J***,Lusaka,Kabanana,XXXX6640,M***,6,6/12/2025
C357760016,M***,Lusaka,Garden Compound,XXXX9351,M***,8,6/12/2025
C357800010,R***,Lusaka,Jack Compound,XXXX3150,M***,3,6/13/2025
C357820018,M***,Lusaka,Jack Compound,XXXX4719,M***,5,6/5/2025
C357860014,T***,Lusaka,Jack Compound,XXXX0523,M***,6,6/5/2025
C358140010,M***,Lusaka,Chawama,XXXX4625,R***,5,6/13/2025
C358150019,Y***,Lusaka,Chawama,XXXX1688,R***,4,6/13/2025
C358200012,G***,Lusaka,Chilanga,XXXX1917,M***,6,6/15/2025
C358230019,P***,Lusaka,Chilanga,XXXX5515,M***,5,6/15/2025
C358270015,C***,Lusaka,Chilanga,XXXX0270,M***,6,6/15/2025
C358280014,L***,Lusaka,Chilanga,XXXX2103,M***,6,6/15/2025
C358300010,M***,Lusaka,Silverest,XXXX6775,T***,7,6/27/2025
C358310019,A***,Lusaka,Chilanga,XXXX2609,M***,6,6/15/2025
C358350015,V***,Lusaka,Chilanga,XXXX1802,M***,7,6/15/2025
C358400018,M***,Lusaka,Chilanga,XXXX4246,M***,5,6/15/2025
C358430015,M***,Lusaka,Chilanga,XXXX2503,M***,5,6/15/2025
C358470011,L***,Lusaka,Ngombe,XXXX2227,G***,5,6/12/2025
C358490019,A***,Lusaka,Ngombe,XXXX3902,G***,7,6/12/2025
C358530012,S***,Lusaka,Ngombe,XXXX1284,G***,8,6/12/2025
C358740017,A***,Lusaka,Kabulonga,XXXX5874,S***,6,6/9/2025
C358760015,J***,Lusaka,Kabulonga,XXXX2453,S***,7,6/6/2025
C358820017,A***,Lusaka,Kabulonga,XXXX7181,S***,5,7/4/2025
C358850014,M***,Lusaka,Kabanana,XXXX8234,E***,8,6/9/2025
C358890010,A***,Lusaka,Kabulonga,XXXX4782,S***,7,6/6/2025
C358940013,G***,Lusaka,Kabanana,XXXX9391,E***,7,6/9/2025
C359000015,F***,Lusaka,Kabulonga,XXXX8648,S***,5,6/7/2025
C359140019,T***,Lusaka,15 Miles,XXXX4460,S***,6,6/23/2025
C359300019,E***,Lusaka,John Haward,XXXX5402,F***,4,8/15/2025
C359380011,B***,Lusaka,John Haward,XXXX5488,F***,5,9/1/2025
C359540010,S***,Lusaka,Garden House,XXXX3901,E***,7,6/16/2025
C359550019,R***,Lusaka,Garden House,XXXX7029,E***,5,6/16/2025
C359570017,D***,Lusaka,Garden House,XXXX1798,E***,6,6/16/2025
C359580016,M***,Lusaka,Garden House,XXXX7141,E***,6,6/16/2025
C359620010,V***,Lusaka,Garden House,XXXX3771,E***,5,6/16/2025
C359630019,A***,Lusaka,Garden House,XXXX8625,E***,6,7/4/2025
C359650017,R***,Lusaka,Garden House,XXXX3247,E***,4,6/16/2025
C359660016,R***,Lusaka,Garden House,XXXX3224,E***,3,6/16/2025
C359860012,D***,Lusaka,Kaunda Square Stage One,XXXX3610,F***,7,7/12/2025
C359930013,J***,Lusaka,Mutumbi,XXXX3361,J***,6,6/13/2025
C359970019,G***,Lusaka,Ngombe,XXXX9057,J***,7,6/17/2025
C359980018,M***,Lusaka,Ngombe,XXXX2331,J***,9,6/18/2025
C360030019,S***,Lusaka,Ngombe,XXXX9104,J***,7,6/18/2025
C360040018,B***,Lusaka,Ngombe,XXXX4480,J***,4,6/18/2025
C360220016,D***,Lusaka,Chelstone,XXXX6165,T***,5,6/20/2025
C360250013,O***,Lusaka,Chelstone,XXXX6274,T***,5,8/8/2025
C360270011,M***,Lusaka,Chilenje,XXXX8177,L***,8,6/18/2025
C360280010,A***,Lusaka,Chilenje,XXXX3760,L***,2,6/18/2025
C360310015,M***,Lusaka,Chilenje,XXXX4293,L***,2,6/18/2025
C360380018,G***,Lusaka,Chilenje,XXXX0571,L***,6,6/18/2025
C360400014,M***,Lusaka,Chilenje,XXXX9861,L***,6,6/18/2025
C360420012,H***,Lusaka,Chilenje,XXXX0100,L***,4,6/18/2025
C360490015,V***,Lusaka,Chilenje,XXXX7578,L***,7,6/18/2025
C360560015,J***,Lusaka,Kamwala South,XXXX8096,L***,6,6/19/2025
C360570014,E***,Lusaka,Jack,XXXX0118,L***,10,6/18/2025
C360630016,G***,Lusaka,Jack Compound,XXXX1223,M***,4,6/13/2025
C360680011,E***,Lusaka,Kalingalinga,XXXX7716,A***,8,7/2/2025
C360690010,E***,Lusaka,Jack,XXXX1252,L***,7,6/18/2025
C360730014,L***,Lusaka,Jack,XXXX4847,L***,4,6/18/2025
C360750012,M***,Lusaka,Jack,XXXX3343,L***,6,6/18/2025
C360890016,P***,Lusaka,Chaisa,XXXX4819,E***,4,6/25/2025
C360900013,P***,Lusaka,Chaisa,XXXX5662,E***,5,6/25/2025
C360910012,C***,Lusaka,Mandevu,XXXX7030,C***,6,6/20/2025
C360930010,K***,Lusaka,Mandevu,XXXX2198,C***,10,6/20/2025
C360940019,D***,Lusaka,Chaisa,XXXX9585,E***,4,6/25/2025
C360950018,M***,Lusaka,Mandevu,XXXX0431,C***,7,6/20/2025
C360960017,M***,Lusaka,Mandevu,XXXX8644,C***,8,6/20/2025
C360970016,H***,Lusaka,Mandevu,XXXX8600,C***,3,6/20/2025
C360990014,R***,Lusaka,Mandevu,XXXX4187,C***,3,6/20/2025
